sample	pop
SAMN06619692	domesticus
SAMN06619693	domesticus
SAMN06619694	domesticus
SAMN06619695	domesticus
SAMN06619696	domesticus
SAMN06619697	domesticus
SAMN06619698	domesticus
SAMN06619699	domesticus
SAMN06619700	domesticus
SAMN06619701	domesticus
SAMN06619702	hispaniolensis
SAMN06619703	hispaniolensis
SAMN06619704	hispaniolensis
SAMN06619705	hispaniolensis
SAMN06619706	hispaniolensis
SAMN06619707	hispaniolensis
SAMN06619708	hispaniolensis
SAMN06619709	hispaniolensis
SAMN06619710	hispaniolensis
SAMN06619711	hispaniolensis
SAMEA104363372	Crete
SAMEA104363373	Crete
SAMEA104363374	Crete
SAMEA104363375	Crete
SAMEA104363376	Crete
SAMEA104363377	Crete
SAMEA104363378	Crete
SAMEA104363379	Crete
SAMEA104363380	Crete
SAMEA104363381	Crete
SAMEA104363382	Sicily
SAMEA104363383	Sicily
SAMEA104363384	Sicily
SAMEA104363385	Sicily
SAMEA104363386	Sicily
SAMEA104363387	Sicily
SAMEA104363388	Sicily
SAMEA104363389	Sicily
SAMEA104363390	Sicily
SAMEA104363391	Sicily
SAMEA104363392	Malta
SAMEA104363393	Malta
SAMEA104363394	Malta
SAMEA104363395	Malta
SAMEA104363396	Malta
SAMEA104363397	Malta
SAMEA104363398	Malta
SAMEA104363399	Malta
SAMEA104363400	Malta
SAMEA104363401	Malta
SAMEA104363402	Corsica
SAMEA104363403	Corsica
SAMEA104363404	Corsica
SAMEA104363405	Corsica
SAMEA104363406	Corsica
SAMEA104363407	Corsica
SAMEA104363408	Corsica
SAMEA104363409	Corsica
SAMEA104363410	Corsica
SAMEA104363411	Corsica
SAMEA104363412	Corsica
SAMEA104363413	Corsica
SAMEA104363414	Corsica
SAMEA104363415	Corsica
SAMEA104363416	Corsica
SAMEA104363417	Corsica
SAMEA104363418	Corsica
SAMEA104363419	Corsica
SAMEA104363420	Corsica
SAMEA104363421	Corsica
SAMEA104363422	Corsica
SAMN06619712	Italy
SAMN06619713	Italy
SAMN06619714	Italy
SAMN06619715	Italy
SAMN06619716	Italy
SAMN06619717	Italy
SAMN06619718	Italy
SAMN06619719	Italy
SAMN06619720	Italy
SAMN06619721	Italy
