sample	pop
SAMN06619692	domesticus
SAMN06619693	domesticus
SAMN06619694	domesticus
SAMN06619695	domesticus
SAMN06619696	domesticus
SAMN06619697	domesticus
SAMN06619698	domesticus
SAMN06619699	domesticus
SAMN06619701	domesticus
SAMN06619702	hispaniolensis
SAMN06619703	hispaniolensis
SAMN06619704	hispaniolensis
SAMN06619705	hispaniolensis
SAMN06619706	hispaniolensis
SAMN06619707	hispaniolensis
SAMN06619708	hispaniolensis
SAMN06619709	hispaniolensis
SAMN06619710	hispaniolensis
SAMN06619711	hispaniolensis
SAMEA104363372	italiae_Crete
SAMEA104363373	italiae_Crete
SAMEA104363374	italiae_Crete
SAMEA104363375	italiae_Crete
SAMEA104363376	italiae_Crete
SAMEA104363377	italiae_Crete
SAMEA104363378	italiae_Crete
SAMEA104363379	italiae_Crete
SAMEA104363380	italiae_Crete
SAMEA104363381	italiae_Crete
SAMEA104363382	italiae_Sicily
SAMEA104363383	italiae_Sicily
SAMEA104363384	italiae_Sicily
SAMEA104363385	italiae_Sicily
SAMEA104363386	italiae_Sicily
SAMEA104363387	italiae_Sicily
SAMEA104363388	italiae_Sicily
SAMEA104363389	italiae_Sicily
SAMEA104363390	italiae_Sicily
SAMEA104363392	italiae_Malta
SAMEA104363393	italiae_Malta
SAMEA104363394	italiae_Malta
SAMEA104363395	italiae_Malta
SAMEA104363396	italiae_Malta
SAMEA104363397	italiae_Malta
SAMEA104363398	italiae_Malta
SAMEA104363401	italiae_Malta
SAMEA104363402	italiae_Corsica
SAMEA104363403	italiae_Corsica
SAMEA104363404	italiae_Corsica
SAMEA104363405	italiae_Corsica
SAMEA104363406	italiae_Corsica
SAMEA104363407	italiae_Corsica
SAMEA104363408	italiae_Corsica
SAMEA104363409	italiae_Corsica
SAMEA104363410	italiae_Corsica
SAMEA104363411	italiae_Corsica
SAMEA104363412	italiae_Corsica
SAMEA104363413	italiae_Corsica
SAMEA104363414	italiae_Corsica
SAMEA104363415	italiae_Corsica
SAMEA104363416	italiae_Corsica
SAMEA104363417	italiae_Corsica
SAMEA104363418	italiae_Corsica
SAMEA104363419	italiae_Corsica
SAMEA104363421	italiae_Corsica
SAMEA104363422	italiae_Corsica
SAMN06619712	italiae_Italy
SAMN06619713	italiae_Italy
SAMN06619714	italiae_Italy
SAMN06619715	italiae_Italy
SAMN06619716	italiae_Italy
SAMN06619717	italiae_Italy
SAMN06619718	italiae_Italy
SAMN06619719	italiae_Italy
SAMN06619720	italiae_Italy
SAMN06619721	italiae_Italy
